src/DatabaseConnection.java:3:	Avoid unused imports such as 'java.sql.ResultSet'
src/DatabaseConnection.java:4:	Avoid unused imports such as 'java.sql.Statement'
src/DatabaseConnection.java:8:	All classes and interfaces must belong to a named package
src/DatabaseConnection.java:8:	headerCommentRequirement Required
src/DatabaseConnection.java:10:	Avoid using redundant field initializer for 'conn'
src/DatabaseConnection.java:10:	Use explicit scoping instead of the default package private level
src/DatabaseConnection.java:10:	fieldCommentRequirement Required
src/DatabaseConnection.java:11:	publicMethodCommentRequirement Required
src/DatabaseConnection.java:14:	Potential violation of Law of Demeter (method chain calls)
src/DatabaseConnection.java:15:	Local variable 'connectionURL' could be declared final
src/DatabaseConnection.java:16:	Local variable 'username' could be declared final
src/DatabaseConnection.java:17:	Local variable 'password' could be declared final
src/DatabaseConnection.java:18:	Local variable 'conn' could be declared final
src/DatabaseConnection.java:22:	A method should have only one exit point, and that should be the last statement in the method
src/DatabaseConnection.java:23:	Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block
src/Login.java:1:	Possible God class (WMC=75, ATFD=269, TCC=0.0)
src/Login.java:5:	Avoid unused imports such as 'java.sql.DriverManager'
src/Login.java:7:	Avoid unused imports such as 'java.sql.Statement'
src/Login.java:19:	Avoid unused imports such as 'java.awt.Window.Type'
src/Login.java:20:	Avoid unused imports such as 'java.awt.FlowLayout'
src/Login.java:22:	Avoid unused imports such as 'java.awt.Color'
src/Login.java:24:	Avoid unused imports such as 'javax.swing.JTextArea'
src/Login.java:25:	Avoid unused imports such as 'javax.swing.JEditorPane'
src/Login.java:26:	Avoid unused imports such as 'javax.swing.JTextPane'
src/Login.java:30:	All classes and interfaces must belong to a named package
src/Login.java:30:	The class 'Login' has a Cyclomatic Complexity of 28 (Highest = 80).
src/Login.java:30:	The class 'Login' has a Modified Cyclomatic Complexity of 23 (Highest = 63).
src/Login.java:30:	The class 'Login' has a Standard Cyclomatic Complexity of 23 (Highest = 63).
src/Login.java:30:	This class has too many methods, consider refactoring it.
src/Login.java:30:	Too many fields
src/Login.java:30:	headerCommentRequirement Required
src/Login.java:32:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/Login.java:32:	fieldCommentRequirement Required
src/Login.java:34:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/Login.java:34:	Use explicit scoping instead of the default package private level
src/Login.java:34:	fieldCommentRequirement Required
src/Login.java:35:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/Login.java:35:	Use explicit scoping instead of the default package private level
src/Login.java:35:	fieldCommentRequirement Required
src/Login.java:36:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/Login.java:36:	Use explicit scoping instead of the default package private level
src/Login.java:36:	fieldCommentRequirement Required
src/Login.java:37:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/Login.java:37:	Use explicit scoping instead of the default package private level
src/Login.java:37:	fieldCommentRequirement Required
src/Login.java:41:	Consider using varargs for methods or constructors which take an array the last parameter.
src/Login.java:41:	Parameter 'args' is not assigned and could be declared final
src/Login.java:42:	To be compliant to J2EE, a webapp should not use any thread.
src/Login.java:43:	publicMethodCommentRequirement Required
src/Login.java:45:	Local variable 'window' could be declared final
src/Login.java:46:	Potential violation of Law of Demeter (static property access)
src/Login.java:47:	Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block
src/Login.java:48:	Avoid printStackTrace(); use a logger call instead.
src/Login.java:53:	Avoid using redundant field initializer for 'conn'
src/Login.java:53:	Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/Login.java:53:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/Login.java:53:	Use explicit scoping instead of the default package private level
src/Login.java:53:	fieldCommentRequirement Required
src/Login.java:54:	Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/Login.java:54:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/Login.java:54:	fieldCommentRequirement Required
src/Login.java:55:	Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/Login.java:55:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/Login.java:55:	Perhaps 'label' could be replaced by a local variable.
src/Login.java:55:	fieldCommentRequirement Required
src/Login.java:56:	Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/Login.java:56:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/Login.java:56:	fieldCommentRequirement Required
src/Login.java:57:	Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/Login.java:57:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/Login.java:57:	Perhaps 'lblTestPassword' could be replaced by a local variable.
src/Login.java:57:	fieldCommentRequirement Required
src/Login.java:58:	Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/Login.java:58:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/Login.java:58:	Only variables that are final should contain underscores (except for underscores in standard prefix/suffix), 'WELCOME_PANEL' is not final.
src/Login.java:58:	The field name indicates a constant but its modifiers do not
src/Login.java:58:	Variables should start with a lowercase character, 'WELCOME_PANEL' starts with uppercase character.
src/Login.java:58:	fieldCommentRequirement Required
src/Login.java:59:	Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/Login.java:59:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/Login.java:59:	Perhaps 'lblHello' could be replaced by a local variable.
src/Login.java:59:	fieldCommentRequirement Required
src/Login.java:60:	Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/Login.java:60:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/Login.java:60:	Only variables that are final should contain underscores (except for underscores in standard prefix/suffix), 'welcome_nameField' is not final.
src/Login.java:60:	fieldCommentRequirement Required
src/Login.java:61:	Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/Login.java:61:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/Login.java:61:	Only variables that are final should contain underscores (except for underscores in standard prefix/suffix), 'label_1' is not final.
src/Login.java:61:	Perhaps 'label_1' could be replaced by a local variable.
src/Login.java:61:	fieldCommentRequirement Required
src/Login.java:62:	Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/Login.java:62:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/Login.java:62:	Only variables that are final should contain underscores (except for underscores in standard prefix/suffix), 'мео_пяоиом_BUTTON' is not final.
src/Login.java:62:	Perhaps 'мео_пяоиом_BUTTON' could be replaced by a local variable.
src/Login.java:62:	The field name indicates a constant but its modifiers do not
src/Login.java:62:	Variables should start with a lowercase character, 'мео_пяоиом_BUTTON' starts with uppercase character.
src/Login.java:62:	fieldCommentRequirement Required
src/Login.java:63:	Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/Login.java:63:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/Login.java:63:	Only variables that are final should contain underscores (except for underscores in standard prefix/suffix), 'апохела_BUTTON' is not final.
src/Login.java:63:	Perhaps 'апохела_BUTTON' could be replaced by a local variable.
src/Login.java:63:	The field name indicates a constant but its modifiers do not
src/Login.java:63:	Variables should start with a lowercase character, 'апохела_BUTTON' starts with uppercase character.
src/Login.java:63:	fieldCommentRequirement Required
src/Login.java:64:	Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/Login.java:64:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/Login.java:64:	Only variables that are final should contain underscores (except for underscores in standard prefix/suffix), 'епен_апох_BUTTON' is not final.
src/Login.java:64:	Perhaps 'епен_апох_BUTTON' could be replaced by a local variable.
src/Login.java:64:	The field name indicates a constant but its modifiers do not
src/Login.java:64:	Variables should start with a lowercase character, 'епен_апох_BUTTON' starts with uppercase character.
src/Login.java:64:	fieldCommentRequirement Required
src/Login.java:65:	Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/Login.java:65:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/Login.java:65:	Only variables that are final should contain underscores (except for underscores in standard prefix/suffix), 'амафгтгсг_BUTTON' is not final.
src/Login.java:65:	Perhaps 'амафгтгсг_BUTTON' could be replaced by a local variable.
src/Login.java:65:	The field name indicates a constant but its modifiers do not
src/Login.java:65:	Variables should start with a lowercase character, 'амафгтгсг_BUTTON' starts with uppercase character.
src/Login.java:65:	fieldCommentRequirement Required
src/Login.java:66:	Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/Login.java:66:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/Login.java:66:	Only variables that are final should contain underscores (except for underscores in standard prefix/suffix), 'статистийа_BUTTON' is not final.
src/Login.java:66:	Perhaps 'статистийа_BUTTON' could be replaced by a local variable.
src/Login.java:66:	The field name indicates a constant but its modifiers do not
src/Login.java:66:	Variables should start with a lowercase character, 'статистийа_BUTTON' starts with uppercase character.
src/Login.java:66:	fieldCommentRequirement Required
src/Login.java:67:	Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/Login.java:67:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/Login.java:67:	Only variables that are final should contain underscores (except for underscores in standard prefix/suffix), 'label_3' is not final.
src/Login.java:67:	Perhaps 'label_3' could be replaced by a local variable.
src/Login.java:67:	fieldCommentRequirement Required
src/Login.java:68:	Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/Login.java:68:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/Login.java:68:	Only variables that are final should contain underscores (except for underscores in standard prefix/suffix), 'label_4' is not final.
src/Login.java:68:	Perhaps 'label_4' could be replaced by a local variable.
